Lektion;Hebräisch;Deutsch;Wortart;;
  יחידה / Einheit I;;;;;
I;אני;ich;Pronomen;;
I;אַתְּ;du (weiblich);Pronomen;;
I;אתה;du (männlich);Pronomen;;
I;היא;sie;Pronomen;;
I;אימא;Mutter;Nomen;;
I;יין;Wein;Nomen;;
I;ים;Meer;Nomen;;
I;מים;Wasser;Nomen;;
I;מתנה;Geschenk;Nomen;;
I;מה?;was?;Fragewort;;
I;מי?;wer?;Fragewort;;
I;היי!;Hallo!;Andere;;
  יחידה / Einheit II;;;;;
II;איש;Mann;Nomen;;
II;אישה;Frau / Ehefrau;Nomen;;
II;גלידה;Eis / Eiscreme;Nomen;;
II;דגל;Fahne / Flagge;Nomen;;
II;הר;Berg;Nomen;;
II;ילד;Junge / Kind;Nomen;;
II;ילדה;Mädchen / Kind;Nomen;;
II;שיר;Lied / Gedicht;Nomen;;
II;שמש;Sonne;Nomen;;
II;תלמיד / תלמידה;Schüler / Schülerin;Nomen;;
II;מרגרינה;Margarine;Nomen;;
II;תה;Tee;Nomen;;
II;ה...;der / die / das ;Andere;;
II;מ... / מ...;von / aus;Andere;;
II;של;von / gehörend zu;Andere;;
II;הִנֵּה;da ist / hier ist;Andere;;
II;שם;dort;Andere;;
II;גם;auch;Andere;;
II;מאין?;woher?;Fragewort;;
  יחידה / Einheit III;;;;;
III;גָּר / גָּרָה ;wohnen / leben;Verb;;
III;לומד / למדת ;lernen / studieren;Verb;;
III;שָׁר / שָׁרָה;singen;Verb;;
III;אנגלית;Englisch (Sprache);Nomen;;
III;גרמנית;Deutsch (Sprache);Nomen;;
III;חלה;Challah (Brot);Nomen;;
III;יידיש;Jiddisch (Sprache);Nomen;;
III;לחם;Brot;Nomen;;
III;לימון;Zitrone;Nomen;;
III;מוֹרֶה / מוֹרָה ;Lehrer/in;Nomen;;
III;מלח;Salz;Nomen;;
III;רומנית;Rumänisch (Sprache);Nomen;;
III;וידאו;Video;Nomen;;
III;זוֹאוֹלוֹגְיָה;Zoologie;Nomen;;
III;טלוויזיה;Fernseher / TV;Nomen;;
III;מיונז;Mayonnaise;Nomen;;
III;מנטה;Minze;Nomen;;
III;רדיו;Radio;Nomen;;
III;אתם;ihr (männl.);Pronomen;;
III;אתן;ihr (weibl.);Pronomen;;
III;הם;sie (männl. Pl.);Pronomen;;
III;הן;sie (weibl. Pl.);Pronomen;;
III;זה;das / dieser (männl.);Pronomen;;
III;זאת;das / diese (weibl.);Pronomen;;
III;אלה;diese (Pl.);Pronomen;;
III;או;oder;Andere;;
III;וְ...;und...;Andere;;
III;לא;nein / nicht;Andere;;
III;להתראות!;auf Wiedersehen!;Andere;;
III;שלום;Hallo / Auf Wiedersehen / Frieden;Andere;;
III;תודה;Danke;Andere;;
  יחידה / Einheit IV;;;;;
IV;עוֹשֶׂה / עוֹשָׂה;machen / tun;Verb;;
IV;רוֹצֶה / רוֹצָה;wollen / möchten;Verb;;
IV;שׁוֹתֶה / שׁוֹתָה;trinken;Verb;;
IV;אנחנו;wir;Pronomen;;
IV;הוא;er;Pronomen;;
IV;אולי;vielleicht;Andere;;
IV;ארץ;Land / Erde;Nomen;;
IV;מיץ;Saft;Nomen;;
IV;מסעדה;Restaurant;Nomen;;
IV;עוגה;Kuchen;Nomen;;
IV;עיר;Stadt;Nomen;;
IV;סרט;Film;Nomen;;
IV;רגע;Moment / Augenblick;Nomen;;
IV;רוסית;Russisch (Sprache);Nomen;;
IV;אלקטרוניקה;Elektronik;Nomen;;
IV;מתמטיקה;Mathematik;Nomen;;
IV;סטודנט / סטודנטית;Student / Studentin;Nomen;;
IV;סלט;Salat;Nomen;;
IV;קוֹמוּנִיקַצְיָה;Kommunikation;Nomen;;
IV;קונצרט;Konzert;Nomen;;
IV;קוקה קולה;Coca-Cola;Nomen;;
IV;קיוסק;Kiosk;Nomen;;
IV;שוקולד;Schokolade;Nomen;;
IV;ל...;für / zu (Richtungspartikel);Andere;;
IV;עם;mit;Andere;;
IV;לאן?;wohin?;Fragewort;;
IV;מה נשמע?;Was gibt's? / Wie geht's?;Andere;;
IV;מצוין;ausgezeichnet / wunderbar;Adjektiv;;
IV;נעים מאוד;sehr angenehm / freut mich;Andere;;
IV;סליחה;Entschuldigung / Verzeihung;Andere;;
IV;לעשות חיים;Spaß haben;Andere;;
IV;קצת;ein bisschen;Andere;;
IV;רק;nur;Andere;;
IV;אוקיי;okay;Andere;;
  יחידה / Einheit V;;;;;
V;מְדַבֵּר / מְדַבֶּרֶת;sprechen / reden;Verb;;
V;אבא;Vater / Papa;Nomen;;
V;אולפן;Ulpan (Hebräischkurs);Nomen;;
V;אשכולית;Grapefruit;Nomen;;
V;בית;Haus;Nomen;;
V;בננה;Banane;Nomen;;
V;יפנית;Japanisch (Sprache);Nomen;;
V;כיתה;Klassenzimmer / Klasse;Nomen;;
V;משפחה;Familie;Nomen;;
V;עולם;Welt;Nomen;;
V;פּוֹלִיטִיקָה;Politik;Nomen;;
V;פּוֹלָנִית ;Polnisch (Sprache);Nomen;;
V;פּוֹרְטוּגֶזִית ;Portugiesisch (Sprache);Nomen;;
V;סוכר;Zucker;Nomen;;
V;סופרמרקט;Supermarkt;Nomen;;
V;תאטרון;Theater;Nomen;;
V;תפוז;Orange;Nomen;;
